,forecast
2025-01-01,88.9953363018419
2025-02-01,92.14255712205622
2025-03-01,95.70919776946671
2025-04-01,99.30318250573245
2025-05-01,101.69346868702009
2025-06-01,96.25664342700205
2025-07-01,92.24970877441397
2025-08-01,88.9948133511301
2025-09-01,84.74957323801544
2025-10-01,85.04175304754958
2025-11-01,87.76801977885002
2025-12-01,92.58587217341466
2026-01-01,97.1070864457502
2026-02-01,101.77554192565448
2026-03-01,106.14761932297735
2026-04-01,109.53926846181486
2026-05-01,108.94616269771959
2026-06-01,105.20096767862036
2026-07-01,102.2239787868488
2026-08-01,98.0391159182824
2026-09-01,95.92511448366179
2026-10-01,95.8915869010375
2026-11-01,98.09761036591343
2026-12-01,102.64372746524178
